"koduzemi","obec",platiod,platido,"okres","soorp" 
"500011","Želechovice nad Dřevnicí",2009,9999,"Zlín","ZLÍN"
"500020","Petrov nad Desnou",2010,9999,"Šumperk","ŠUMPERK"
"500046","Libhošť",2011,9999,"Nový Jičín","NOVÝ JIČÍN"
"500062","Krhová",2013,9999,"Vsetín","VALAŠSKÉ MEZIŘÍČÍ"
"500071","Poličná",2013,9999,"Vsetín","VALAŠSKÉ MEZIŘÍČÍ"
"500101","Bražec",2016,9999,"Karlovy Vary","KARLOVY VARY"
"500127","Doupovské Hradiště",2016,9999,"Karlovy Vary","OSTROV"
"500135","Kozlov",2016,9999,"Olomouc","OLOMOUC"
"500151","Luboměř pod Strážnou",2016,9999,"Přerov","HRANICE"
"500160","Město Libavá",2016,9999,"Olomouc","ŠTERNBERK"
"500194","Polná na Šumavě",2016,9999,"Český Krumlov","ČESKÝ KRUMLOV"
"500259","Veřovice",1991,9999,"Nový Jičín","FRENŠTÁT P. RADHOŠTĚM"
"500291","Vřesina",1991,2006,"Nový Jičín","OSTRAVA"
"500291","Vřesina",2007,9999,"Ostrava","OSTRAVA"
"500496","Olomouc",1991,9999,"Olomouc","OLOMOUC"
"500526","Bělkovice-Lašťany",1991,9999,"Olomouc","OLOMOUC"
"500623","Bílá Lhota",1991,9999,"Olomouc","LITOVEL"
"500801","Blatec",1991,9999,"Olomouc","OLOMOUC"
"500852","Bohuňovice",1991,9999,"Olomouc","OLOMOUC"
"500861","Bouzov",1991,9999,"Olomouc","LITOVEL"
"500879","Bystročice",1991,9999,"Olomouc","OLOMOUC"
"501476","Dlouhá Loučka",1991,9999,"Olomouc","UNIČOV"
"501646","Dolany",1991,9999,"Olomouc","OLOMOUC"
"501751","Drahanovice",1991,9999,"Olomouc","OLOMOUC"
"501794","Dub nad Moravou",1991,9999,"Olomouc","OLOMOUC"
"501841","Grygov",1991,9999,"Olomouc","OLOMOUC"
"502146","Hlubočky",1991,9999,"Olomouc","OLOMOUC"
"502235","Hněvotín",1991,9999,"Olomouc","OLOMOUC"
"502405","Hnojice",1991,9999,"Olomouc","ŠTERNBERK"
"502545","Horka nad Moravou",1991,9999,"Olomouc","OLOMOUC"
"502839","Cholina",1991,9999,"Olomouc","LITOVEL"
"503142","Jívová",1991,9999,"Olomouc","ŠTERNBERK"
"503304","Kožušany-Tážaly",1991,9999,"Olomouc","OLOMOUC"
"503410","Žitovlice",1991,9999,"Nymburk","NYMBURK"
"503444","Litovel",1991,9999,"Olomouc","LITOVEL"
"503622","Luká",1991,9999,"Olomouc","LITOVEL"
"503657","Lutín",1991,9999,"Olomouc","OLOMOUC"
"503738","Majetín",1991,9999,"Olomouc","OLOMOUC"
"503916","Kostelec",1991,9999,"Tachov","STŘÍBRO"
"503941","Libavá",2003,9999,"Olomouc","OLOMOUC"
"503941","Město Libavá",1991,2002,"Olomouc","OLOMOUC"
"504246","Mladeč",1991,9999,"Olomouc","LITOVEL"
"504301","Dřenice",1991,9999,"Chrudim","CHRUDIM"
"504441","Náklo",1991,9999,"Olomouc","LITOVEL"
"504505","Náměšť na Hané",1991,9999,"Olomouc","OLOMOUC"
"504785","Paseka",1991,9999,"Olomouc","UNIČOV"
"504807","Lány",1991,9999,"Chrudim","CHRUDIM"
"504921","Třibřichy",1991,9999,"Chrudim","CHRUDIM"
"504955","Dvakačovice",1991,9999,"Chrudim","CHRUDIM"
"505005","Bítovany",1991,9999,"Chrudim","CHRUDIM"
"505013","Příkazy",1991,9999,"Olomouc","OLOMOUC"
"505030","Dolní Bezděkov",1991,9999,"Chrudim","CHRUDIM"
"505081","Senice na Hané",1991,9999,"Olomouc","LITOVEL"
"505099","Červená Hora",1991,9999,"Náchod","NÁCHOD"
"505111","Slatinice",1991,9999,"Olomouc","OLOMOUC"
"505145","Březová nad Svitavou",1991,9999,"Svitavy","SVITAVY"
"505161","Štěpánov",1991,9999,"Olomouc","OLOMOUC"
"505188","Šternberk",1991,9999,"Olomouc","ŠTERNBERK"
"505218","Šumvald",1991,9999,"Olomouc","UNIČOV"
"505269","Těšetice",1991,9999,"Olomouc","OLOMOUC"
"505293","Troubelice",1991,9999,"Olomouc","UNIČOV"
"505366","Tršice",1991,9999,"Olomouc","OLOMOUC"
"505391","Bělá u Jevíčka",1991,9999,"Svitavy","MORAVSKÁ TŘEBOVÁ"
"505501","Újezd",1991,9999,"Olomouc","UNIČOV"
"505528","Jenčice",1991,9999,"Litoměřice","LOVOSICE"
"505587","Uničov",1991,9999,"Olomouc","UNIČOV"
"505609","Velká Bystřice",1991,9999,"Olomouc","OLOMOUC"
"505650","Velký Týnec",1991,9999,"Olomouc","OLOMOUC"
"505668","Velký Újezd",1991,9999,"Olomouc","OLOMOUC"
"505781","Zápy",1991,9999,"Praha-východ","BRANDÝS N.L.-ST.BOLES"
"505862","Žerotín",1991,9999,"Olomouc","ŠTERNBERK"
"505927","Opava",1991,9999,"Opava","OPAVA"
"506192","Bohuslavice",1991,9999,"Opava","HLUČÍN"
"506214","Bolatice",1991,9999,"Opava","KRAVAŘE"
"506320","Brumovice",1991,9999,"Opava","OPAVA"
"506451","Březová",1991,9999,"Opava","VÍTKOV"
"506460","Budišov nad Budišovkou",1991,9999,"Opava","VÍTKOV"
"506486","Boží Dar",1991,9999,"Karlovy Vary","OSTROV"
"506494","Nové Hamry",1991,9999,"Karlovy Vary","KARLOVY VARY"
"506621","Čichalov",1991,9999,"Karlovy Vary","KARLOVY VARY"
"506664","Skořice",1991,9999,"Rokycany","ROKYCANY"
"506699","Otmarov",1991,9999,"Brno-venkov","ŽIDLOCHOVICE"
"506702","Dolní Benešov",1991,9999,"Opava","HLUČÍN"
"506711","Dolní Lhota",1991,2006,"Opava","OSTRAVA"
"506711","Dolní Lhota",2007,9999,"Ostrava","OSTRAVA"
"506729","Dvorce",1991,9999,"Jihlava","JIHLAVA"
"506737","Chvalčov",1991,9999,"Kroměříž","BYSTŘICE POD HOSTÝNEM"
"506753","Háj ve Slezsku",1991,9999,"Opava","OPAVA"
"506761","Alojzov",1991,9999,"Prostějov","PROSTĚJOV"
"506770","Seloutky",1991,9999,"Prostějov","PROSTĚJOV"
"507016","Hlučín",1991,9999,"Opava","HLUČÍN"
"507091","Nýdek",1991,9999,"Frýdek-Místek","TŘINEC"
"507105","Hněvošice",1991,9999,"Opava","OPAVA"
"507113","Holasovice",1991,9999,"Opava","OPAVA"
"507181","Pržno",1991,9999,"Frýdek-Místek","FRÝDLANT N. OSTRAVICÍ"
"507237","Komorní Lhotka",1991,9999,"Frýdek-Místek","TŘINEC"
"507261","Hrabyně",1991,9999,"Opava","OPAVA"
"507270","Hradec nad Moravicí",1991,9999,"Opava","OPAVA"
"507334","Chuchelná",1991,9999,"Opava","KRAVAŘE"
"507377","Jakartovice",1991,9999,"Opava","OPAVA"
"507423","Janovice",1991,9999,"Frýdek-Místek","FRÝDLANT N. OSTRAVICÍ"
"507458","Košařiska",1991,9999,"Frýdek-Místek","TŘINEC"
"507504","Kobeřice",1991,9999,"Opava","KRAVAŘE"
"507547","Milíkov",1991,9999,"Frýdek-Místek","JABLUNKOV"
"507580","Kravaře",1991,9999,"Opava","KRAVAŘE"
"507610","Doňov",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"507628","Pleše",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"507644","Újezdec",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"507652","Višňová",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"507695","Záhoří",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"507717","Peč",1991,9999,"Jindřichův Hradec","DAČICE"
"507733","Březina",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"507784","Ratiboř",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"507920","Litultovice",1991,9999,"Opava","OPAVA"
"507971","Ludgeřovice",1991,9999,"Opava","HLUČÍN"
"508004","Roseč",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"508128","Markvartovice",1991,9999,"Opava","HLUČÍN"
"508144","Melč",1991,9999,"Opava","VÍTKOV"
"508152","Střížovice",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"508357","Kostelní Vydří",1991,9999,"Jindřichův Hradec","DAČICE"
"508373","Mokré Lazce",1991,9999,"Opava","OPAVA"
"508501","Lužnice",1991,9999,"Jindřichův Hradec","TŘEBOŇ"
"508683","Záblatí",1991,9999,"Jindřichův Hradec","TŘEBOŇ"
"509078","Plavsko",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"509108","Kostelní Radouň",1991,9999,"Jindřichův Hradec","JINDŘICHŮV HRADEC"
"509116","Červený Hrádek",1991,9999,"Jindřichův Hradec","DAČICE"
"509141","Dvory nad Lužnicí",1991,9999,"Jindřichův Hradec","TŘEBOŇ"
"509191","Cep",1991,9999,"Jindřichův Hradec","TŘEBOŇ"
