KSTRANA,NAZEVCELK,POC_HLASU,OBEC
1,Strana zelených,6,500011
1,Strana zelených,2,500020
1,Strana zelených,10,500046
1,Strana zelených,207,500054
1,Strana zelených,16,500062
1,Strana zelených,12,500071
1,Strana zelených,227,500089
1,Strana zelených,403,500097
1,Strana zelených,608,500119
1,Strana zelených,2,500127
1,Strana zelených,413,500143
1,Strana zelených,3,500151
1,Strana zelených,7,500160
1,Strana zelených,562,500178
1,Strana zelených,295,500186
1,Strana zelených,2,500194
1,Strana zelených,481,500208
1,Strana zelených,215,500216
1,Strana zelených,493,500224
1,Strana zelených,17,500259
1,Strana zelených,12,500291
1,Strana zelených,560,500496
1,Strana zelených,7,500526
1,Strana zelených,4,500623
1,Strana zelených,10,500801
1,Strana zelených,14,500852
1,Strana zelených,9,500861
1,Strana zelených,3,500879
1,Strana zelených,109,501298
1,Strana zelených,18,501476
1,Strana zelených,15,501646
1,Strana zelených,10,501751
1,Strana zelených,7,501794
1,Strana zelených,11,501841
1,Strana zelených,89,502081
1,Strana zelených,21,502146
1,Strana zelených,10,502235
1,Strana zelených,81,502316
1,Strana zelených,2,502405
1,Strana zelených,9,502545
1,Strana zelených,4,502839
1,Strana zelených,3,503142
1,Strana zelených,3,503304
1,Strana zelených,36,503444
1,Strana zelených,3,503622
1,Strana zelených,29,503657
1,Strana zelených,6,503738
1,Strana zelených,3,503916
1,Strana zelených,3,504246
1,Strana zelených,3,504301
1,Strana zelených,7,504441
1,Strana zelených,13,504505
1,Strana zelených,5,504785
1,Strana zelených,1,504807
1,Strana zelených,2,504921
1,Strana zelených,1,504955
1,Strana zelených,5,505013
1,Strana zelených,3,505030
1,Strana zelených,5,505081
1,Strana zelených,3,505099
1,Strana zelených,4,505111
1,Strana zelených,7,505145
1,Strana zelených,21,505161
1,Strana zelených,60,505188
1,Strana zelených,1,505218
1,Strana zelených,12,505269
1,Strana zelených,5,505293
1,Strana zelených,10,505366
1,Strana zelených,3,505391
1,Strana zelených,3,505501
1,Strana zelených,46,505587
1,Strana zelených,16,505609
1,Strana zelených,13,505650
1,Strana zelených,4,505668
1,Strana zelených,3,505781
1,Strana zelených,4,505862
1,Strana zelených,20,506192
1,Strana zelených,19,506214
1,Strana zelených,12,506320
1,Strana zelených,6,506451
1,Strana zelených,12,506460
1,Strana zelených,1,506486
1,Strana zelených,3,506494
1,Strana zelených,1,506621
1,Strana zelených,1,506664
1,Strana zelených,19,506702
1,Strana zelených,4,506711
1,Strana zelených,11,506737
1,Strana zelených,25,506753
1,Strana zelených,4,506761
1,Strana zelených,4,506770
1,Strana zelených,67,507016
1,Strana zelených,5,507091
1,Strana zelených,2,507105
1,Strana zelených,11,507113
1,Strana zelených,5,507181
1,Strana zelených,6,507237
1,Strana zelených,5,507261
1,Strana zelených,29,507270
1,Strana zelených,9,507334
1,Strana zelených,5,507377
1,Strana zelených,15,507423
1,Strana zelených,10,507504
1,Strana zelených,3,507547
1,Strana zelených,38,507580
1,Strana zelených,1,507610
1,Strana zelených,1,507644
1,Strana zelených,1,507652
1,Strana zelených,1,507717
1,Strana zelených,4,507920
1,Strana zelených,29,507971
1,Strana zelených,4,508004
1,Strana zelených,10,508128
1,Strana zelených,5,508144
1,Strana zelených,2,508152
1,Strana zelených,9,508373
1,Strana zelených,5,508501
1,Strana zelených,2,509078
1,Strana zelených,1,509116
1,Strana zelených,2,509141
1,Strana zelených,1,509388
1,Strana zelených,5,509574
1,Strana zelených,8,509612
1,Strana zelených,4,509621
1,Strana zelených,16,509647
1,Strana zelených,6,509736
1,Strana zelených,12,509841
1,Strana zelených,4,510068
1,Strana zelených,23,510131
1,Strana zelených,13,510289
1,Strana zelených,7,510297
1,Strana zelených,13,510343
1,Strana zelených,1,510378
1,Strana zelených,6,510432
1,Strana zelených,12,510483
1,Strana zelených,6,510491
1,Strana zelených,3,510556
1,Strana zelených,11,510882
1,Strana zelených,8,510891
1,Strana zelených,10,510939
1,Strana zelených,2,510980
1,Strana zelených,19,511021
1,Strana zelených,4,511161
1,Strana zelených,2,511242
1,Strana zelených,1,511307
1,Strana zelených,137,511382
1,Strana zelených,2,511587
1,Strana zelených,1,511633
1,Strana zelených,3,511935
1,Strana zelených,6,512028
1,Strana zelených,14,512176
1,Strana zelených,7,512184
1,Strana zelených,4,512192
1,Strana zelených,8,512231
1,Strana zelených,8,512281
1,Strana zelených,1,512401
1,Strana zelených,4,512532
1,Strana zelených,9,512745
1,Strana zelených,6,512800
1,Strana zelených,2,512826
1,Strana zelených,5,512869
1,Strana zelených,4,512877
1,Strana zelených,2,512907
1,Strana zelených,8,512923
1,Strana zelených,1,512974
1,Strana zelených,2,512982
1,Strana zelených,1,512991
1,Strana zelených,6,513041
1,Strana zelených,1,513059
1,Strana zelených,4,513067
1,Strana zelených,1,513113
1,Strana zelených,2,513164
1,Strana zelených,2,513181
1,Strana zelených,4,513199
1,Strana zelených,1,513211
1,Strana zelených,2,513229
1,Strana zelených,2,513270
1,Strana zelených,1,513288
1,Strana zelených,2,513369
1,Strana zelených,2,513393
1,Strana zelených,7,513458
1,Strana zelených,1,513482
1,Strana zelených,7,513491
1,Strana zelených,2,513504
1,Strana zelených,5,513512
1,Strana zelených,7,513521
1,Strana zelených,1,513539
1,Strana zelených,1,513547
1,Strana zelených,4,513571
1,Strana zelených,3,513580
1,Strana zelených,3,513628
1,Strana zelených,1,513636
1,Strana zelených,1,513644
1,Strana zelených,11,513661
1,Strana zelených,1,513709
1,Strana zelených,1,513733
