obec_id,obec_name,orp_id,orp_name,okres_id,okres_name,kraj_id,kraj_name
554979,Abertamy,4106,Ostrov,3403,Karlovy Vary,51,Karlovarský kraj
531367,Adamov,2104,Čáslav,3205,Kutná Hora,27,Středočeský kraj
535826,Adamov,3102,České Budějovice,3301,České Budějovice,35,Jihočeský kraj
581291,Adamov,6201,Blansko,3701,Blansko,116,Jihomoravský kraj
547786,Adršpach,5201,Broumov,3605,Náchod,86,Královéhradecký kraj
547981,Albrechtice,5306,Lanškroun,3611,Ústí nad Orlicí,94,Pardubický kraj
598925,Albrechtice,8108,Havířov,3803,Karviná,132,Moravskoslezský kraj
576077,Albrechtice nad Orlicí,5208,Kostelec nad Orlicí,3607,Rychnov nad Kněžnou,86,Královéhradecký kraj
549258,Albrechtice nad Vltavou,3108,Písek,3305,Písek,35,Jihočeský kraj
563528,Albrechtice v Jizerských horách,5108,Tanvald,3504,Jablonec nad Nisou,78,Liberecký kraj
568741,Albrechtičky,8101,Bílovec,3804,Nový Jičín,132,Moravskoslezský kraj
506761,Alojzov,7108,Prostějov,3709,Prostějov,124,Olomoucký kraj
538001,Andělská Hora,4103,Karlovy Vary,3403,Karlovy Vary,51,Karlovarský kraj
551929,Andělská Hora,8103,Bruntál,3801,Bruntál,132,Moravskoslezský kraj
573426,Anenská Studánka,5306,Lanškroun,3611,Ústí nad Orlicí,94,Pardubický kraj
586030,Archlebov,6210,Kyjov,3706,Hodonín,116,Jihomoravský kraj
509388,Arneštovice,6110,Pelhřimov,3304,Pelhřimov,108,Kraj Vysočina
586854,Arnolec,6105,Jihlava,3707,Jihlava,108,Kraj Vysočina
562343,Arnoltice,4202,Děčín,3502,Děčín,60,Ústecký kraj
554499,Aš,4101,Aš,3402,Cheb,51,Karlovarský kraj
537241,Babice,3109,Prachatice,3306,Prachatice,35,Jihočeský kraj
538043,Babice,2122,Říčany,3209,Praha-východ,27,Středočeský kraj
552356,Babice,7110,Šternberk,3805,Olomouc,124,Olomoucký kraj
