koduzemi,hodnota
500011,26409.0
500020,15678.0
500046,20014.0
500062,20044.0
500071,17347.0
500101,1584.0
500127,1125.0
500135,1692.0
500151,844.0
500160,4131.0
500194,1436.0
500259,44868.0
500291,61574.0
500496,2293836.0
500526,48426.0
500623,25478.0
500801,13999.0
500852,56936.0
500861,34461.0
500879,16354.0
501476,43661.0
501646,57282.0
501751,38969.0
501794,35582.0
501841,33316.0
502146,99195.0
502235,35379.0
502405,13793.0
502545,52942.0
502839,16246.0
503142,13057.0
503304,19346.0
503410,3708.0
503444,226398.0
503622,18669.0
503657,73645.0
503738,25993.0
503916,12679.0
503941,17903.0
504246,17362.0
504301,8085.0
504441,33776.0
504505,45501.0
504785,28305.0
504807,5773.0
504921,6651.0
504955,3901.0
505005,9543.0
505013,28547.0
505030,4507.0
505081,41275.0
505099,4501.0
505111,34691.0
505145,37563.0
505161,78069.0
505188,312130.0
505218,39034.0
505269,29088.0
505293,42664.0
505366,37333.0
505391,8113.0
505501,31884.0
505528,7622.0
505587,269671.0
505609,71654.0
505650,59055.0
505668,28190.0
505781,17730.0
505862,10269.0
505927,1328660.0
506192,38001.0
506214,99562.0
506320,33785.0
506451,31234.0
506460,69160.0
506486,4793.0
506494,7409.0
506621,3611.0
506664,5649.0
506699,6201.0
506702,94830.0
506711,31924.0
506729,4076.0
506737,37393.0
506753,74851.0
506761,5401.0
506770,11243.0
507016,321509.0
507091,45552.0
507105,23287.0
507113,31323.0
507181,22219.0
507237,28538.0
507261,26622.0
507270,122286.0
507334,29435.0
507377,24295.0
507423,41538.0
507458,8655.0
507504,74389.0
507547,29941.0
507580,153731.0
507610,1895.0
507628,4209.0
507644,1548.0
507652,1772.0
507695,2657.0
507717,9865.0
507733,3031.0
507784,4075.0
507920,19362.0
507971,108433.0
508004,4893.0
508128,43801.0
508144,14521.0
508152,13487.0
508357,3609.0
508373,25757.0
508501,9424.0
508683,1846.0
509078,10252.0
509108,6494.0
509116,4798.0
509141,7687.0
509191,4357.0
509388,1906.0
509418,2424.0
509574,31005.0
509612,31218.0
509621,11246.0
509647,47956.0
509736,32137.0
509752,2188.0
509841,23493.0
510068,4054.0
510131,23164.0
510289,43038.0
510297,18529.0
510343,31986.0
510378,14840.0
510432,35900.0
510483,71943.0
510491,27716.0
510556,6355.0
510645,1844.0
510882,42408.0
510891,36733.0
510939,40510.0
510980,7408.0
511021,136500.0
511081,5471.0
511161,11146.0
511242,8696.0
511307,2483.0
511382,1030982.0
511412,2403.0
511587,7811.0
511633,10175.0
511935,31377.0
511951,20205.0
511986,8584.0
512028,41328.0
512176,41478.0
512184,38029.0
512192,16737.0
512231,40164.0
512281,15417.0
512401,4221.0
512532,22575.0
512745,18925.0
512800,45474.0
512826,8338.0
512869,20484.0
512877,8928.0
512893,4639.0
512907,18893.0
512923,25395.0
512974,15437.0
512982,12241.0
512991,3873.0
513032,9380.0
513041,13777.0
513059,2576.0
513067,17454.0
513075,7905.0
513105,4847.0
513113,5709.0
513130,5630.0
513148,3613.0
513164,7595.0
513181,2749.0
513199,27119.0
513202,2422.0
513211,12182.0
513229,35092.0
513237,3566.0
513261,5166.0
513270,4383.0
513288,3313.0
513369,5488.0
513393,9840.0
513415,4693.0
513423,7512.0
513431,7930.0
513458,46959.0
513482,4337.0
513491,37240.0
513504,8332.0
513512,6441.0
513521,3184.0
513539,3827.0
513547,6607.0
513555,4585.0
513571,3121.0
513580,5558.0
513628,4915.0
513636,7132.0
513644,4790.0
513661,9397.0
513695,3113.0
513709,3005.0
513717,7562.0
513733,6342.0
513750,430000.0
513768,40037.0
513873,10836.0
513890,3448.0
514047,5638.0
514055,143083.0
514152,26082.0
514161,2257.0
514195,2867.0
514276,8551.0
514446,4486.0
514471,12096.0
514497,7370.0
514527,1210.0
514705,188311.0
514772,5990.0
514802,5442.0
515191,16347.0
515329,8073.0
515418,9294.0
515477,6216.0
515787,4471.0
515825,2816.0
516201,18194.0
516350,2215.0
516619,27689.0
516635,8858.0
516686,11456.0
516694,16885.0
516864,4736.0
516899,11516.0
516911,6360.0
517101,27380.0
517151,19078.0
517208,3296.0
517224,5936.0
517275,3372.0
517321,4476.0
517437,3745.0
517445,4202.0
517534,25794.0
517569,6426.0
517585,9115.0
517607,33391.0
517615,5633.0
517666,10742.0
517747,13236.0
517836,3461.0
517844,13685.0
517887,14000.0
517909,19119.0
518026,7397.0
519031,8246.0
519146,57715.0
519651,46307.0
520047,9977.0
520306,12611.0
520420,19576.0
521531,19875.0
522775,5105.0
523453,5052.0
523640,12448.0
523704,620110.0
523917,41085.0
524891,20718.0
525227,7242.0
525588,71143.0
525804,31228.0
525880,11366.0
525979,18378.0
526169,6889.0
526622,6391.0
528196,4865.0
529303,375746.0
529451,96614.0
529478,2759.0
529486,32113.0
529516,62577.0
529524,749.0
529532,7206.0
529541,3476.0
529559,2657.0
529567,12286.0
529575,2923.0
529583,3067.0
529591,4966.0
529605,5576.0
529613,10403.0
529621,35523.0
529630,6307.0
529648,20645.0
529656,4278.0
